,Project,Website,Protocols,DefiSafety Score,Audit,Github
56,Nerve.fi,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['BnB Smart Chain'],34%,"['This section looks at the 3rd party software audits done. It is explained in this document.', '\u200bCertik did an audit on them on April 6th 2021.  It is a very simple audit that does not even mention finance aspect, the bridge.  As such 20% is deducted to 50% final score.']",#review-appendices
57,Nexus Mutual  ,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Ethereum'],81%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Three audits have taken place in which the results have been published. The most recent was in May, 2021.']",#review-appendices
58,OpenOcean,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,"['BnB Smart Chain', 'Ethereum', 'Polygon']",53%,"['There is no evidence of provided code coverage in the OpenOcean GitHub or in any of their audit reports, but there should be sufficient testing.', 'There is no evidence of a OpenOcean Formal Verification test in any of their documentation or in their audit reports.\u200b', 'This section looks at the 3rd party software audits done. It is explained in this document.', ""\n\u200bCertik has published a OpenOcean audit report on March 9th 2021, which was weeks before their mainnet launch on March 29th 2021.\n\xa0- Slowmist has pubished multiple OpenOcean Audit Reports on march 9th 2021. These include BSC, Ethereum, and TRON contracts. All of these reports were published before openocean;s mainnet launch on march 29th 2021.\n\xa0- Certik's OpenSea report underlines several informational issues about the way that the OpenOcean code is written. Only one of the four issues (1/4) were resolved. However, they have resolved the most important one: OOE-04 underlined a security risk in the external call of the swap function where malicious code could be called. Since the OpenOcean team is the party that provides this external call function, both Certik and the protocol have deemed it safe/resolved.\n\xa0- SlowMist's OpenOcean reports underlines no real issue in the OpenOcean's exchange contract. Their use of OpenZeppelin's SafeMath mitigates any damage/bugs that could happen as a result of overflow, and is generally the recommended approach. SlowMist's only recommendation is to implement a function that would pause/shut down all contracts in case of anomalies.\n""]",https://bscscan.com/address/0x6679800c37e2f7eb072a7af3fb3b81b17a0af153#code
59,Orion Protocol,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,"['BnB Smart Chain', 'Ethereum']",50%,"['This section looks at the 3rd party software audits done. It is explained in this document.', '\n\u200bCertik published a Orion Token Sale audit report on July 11th 2020.  This does not concern the smart contracts of the protocol that does not seem to have an audit yet.  Therefore a 20% score.\n\xa0- Orion Protocol launched their mainnet (Orion Terminal) on May 31st 2021.\n\xa0- Note: Most of the Certik fix recommendations were purely informational, and did not necessarily require implementation from the Orion Protocol team.\n']",#review-appendices
60,O3 Swap,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,"['BnB Smart Chain', 'Ethereum', 'Polygon']",49%,"['There is no evidence of a O3 Swap code coverage in their audit reports by SlowMist and Certik, nor in their own documentation.', 'This section looks at the 3rd party software audits done. It is explained in this document.', '\n\u200bSlowMist published a O3 Swap audit report on May 14th 2021.\u200b\n\xa0- Certik published a O3 swap audit report on May 12th 2021.\n']",#review-appendices
61,PayBSwap Finance,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,"['BnB Smart Chain', 'Ethereum']",21%,"['This section looks at the 3rd party software audits done. It is explained in this document.', ""\u200bSomeone published a PayBSwap audit report on an undisclosed date. Author is also not specified.  Also the audit was just on the token contract.\n\xa0\n\xa0QuillHash team published a PayBSwap token audit report on an undisclosed date. However, the audit was completed on April 1st, which is before the launch of the token on APril 16th 2021.\n\xa0\n\xa0Note: No indication as to the fix recommendations' implementation.\n\xa0Note 2: Private repo = -25%""]",https://paybswap.finance/static/media/Whitepaper.f1d731e1.pdf
62,Pancake Bunny,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['BnB Smart Chain'],30%,"['This section looks at the 3rd party software audits done. It is explained in this document.', '\u200bHaechi preformed an audit on PancakeBunny. The audit meets the reqs for a 70%.  But, on reading the audit it is very thin and mentions a big weakness on code not within the scope of the audit.  Audit score reduced from 70% to 40%.', 'No indication of which contracts are upgradeable.  Roles are only mentioned in the audit, not in protocol docs.  The degree of change an owner can enact is not defined.\n\xa0The type of ownership is clearly indicated (OnlyOwner / MultiSig / Defined Roles) -- 10%']",#review-appendices
63,Pancake Hunny,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['BnB Smart Chain'],34%,"['There is no evidence of code coverage in any of the Pancake Hunny documentation or in their Certik audit report.\u200b', 'This section looks at the 3rd party software audits done. It is explained in this document.', '\u200bCertik published a Pancake Hunny audit report on June 20th 2021, which was after their mainnet launches earlier this year.']",#review-appendices
64,PancakeSwap,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['BnB Smart Chain'],82%,"['This section looks at the 3rd party software audits done. It is explained in this document.', ""PakcakeSwap's core contracts have been audited by Certik, and twice by Slowmist.\n\xa0PancakeSwap's lottery V2 has been audited twice, and most of the changes recommended have been implemented.\n\xa0\n\xa0PancakeSwap's PeckShield V2 Audit\n\xa0PancakeSwap's Slowmist V2 Audit""]",#review-appendices
65,Pangolin,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['Avalanche'],36%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'They have not done any audits because they are a fork of Compound and Uniswap: two very audited protocols.']",#review-appendices
66,ParaSwap,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['Ethereum'],53%,"['Lack of testing and code coverage in their multiple audits.', 'This section looks at the 3rd party software audits done. It is explained in this document.', '\nPeckShield published a ParaSwap audit report on April 22nd 2021.\u200b\n\xa0- Solidifed audited ParaSwap on April 6th 2021\n\xa0- CertiK did an audit report March 6th 2021\n\xa0- All of these were post launch.\n']",#review-appendices
67,PEAKDEFI PQ,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,"['BnB Smart Chain', 'Ethereum']",41%,"['Code coverage is indicated by the Quantstamp security audit.', 'There are result reports indicated by the Quantstamp security audit.', 'This section looks at the 3rd party software audits done. It is explained in this document.']",https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#documentation
68,Pickle Finance V2,https://www.coindesk.com/markets/2020/11/22/defi-protocol-pickle-finance-token-loses-almost-half-its-value-after-197m-hack/,"['Ethereum', 'Polygon']",66%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Pickle was audited four times before and after launch.\u200b']",https://github.com/pickle-finance/contracts
69,PieDAO,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,"['BnB Smart Chain', 'Ethereum']",82%,"['PieDAO has an average code coverage percentage of 72.5 when adding up and averaging all coverage documented in their Quantstamp v1 and v2 audits.', 'This section looks at the 3rd party software audits done. It is explained in this document.', ""PieDAO's has had 4 audits performed and published as seen from this GitHub repository. All of the reports were published before the specific contracts' mainnet launches.""]",#review-appendices
70,Polycat Finance,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['Polygon'],38%,"['There is no evidence of Polycat code coverage in any of their software repositories or in their audits by Obelisk and TechRate.', 'This section looks at the 3rd party software audits done. It is explained in this document.', 'Polycat was audited once before launch and twice after. ']",#review-appendices
71,PolyDEX,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Polygon'],33%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'TechRate did a PolyDEX audit in May 2021.  The quality of this audit is very low.  No real DeFi financial checks were done, it seems.  Only basic automated test results are indicated with no details or results,  As such the score is dropped to 40% from 90%']",#review-appendices
72,Pool Together 3.0,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,"['BnB Smart Chain', 'Celo', 'Ethereum', 'Polygon']",91%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'PoolTogether has undergone three external audits. Open Zeppelin has audited  the protocol twice, and ditCraft has once - though no proof could be found for this third audit.']",https://docs.pooltogether.com/resources/networks/celo#celo
73,PrivacySwap,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['BnB Smart Chain'],41%,"['No evidence of code coverage was found in any of the PrivacySwap audits or GitHub repositories.', 'This section looks at the 3rd party software audits done. It is explained in this document.', '\u200bTechRate published a PrivacySwap audit report in May 2021.\u200b This is post-launch.']",#review-appendices
74,Pylon Protocol,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Terra'],74%,"['This section looks at the 3rd party software audits done. It is explained in this document.', '\u200bSVCSoft published a Pylon Protocol audit report on June 26th 2021.  The audit quality appears high, however we have concern about several high severity findings that are not fixed or explained by the team.  For this reason 30% is deducted or 60%.']",#review-appendices
75,Popsicle Finance,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,"['BnB Smart Chain', 'Ethereum']",43%,"['There is no evidence of Popsicle Finance code coverage in any of their documentation or in their audit reports by PeckShield and Certik.', 'This section looks at the 3rd party software audits done. It is explained in this document.', '\u200bCertik & Peckshield have published a Popsicle Finance audit reports for their core contracts on May 5th 2021. and June 28th. These were both after deployment.\n\xa0']",#review-appendices
76,Qubit Finance,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['BnB Smart Chain'],43%,"['There is no evidence of any Qubit Finance code coverage in any of their documentation or in their PeckShield audit report.', 'This section looks at the 3rd party software audits done. It is explained in this document.', '\u200bPeckShield published a Qubit Finance audit report on August 13th 2021, which was after their mainnet launch that took place on July 19th 2021.  However changes requested were fixed.']",#review-appendices
77,QuickSwap Process Quality Review,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['Polygon'],26%,['This section looks at the 3rd party software audits done. It is explained in this document.'],#review-appendices
78,Reflexer Finance,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['Ethereum'],78%,"['This section looks at the 3rd party software audits done. It is explained in this document.', '\u200bOpenZeppelin did an audit on November 24th, 2020.  This was pre-release.\u200b']",https://github.com/reflexer-labs/geb-uni-v3-manager
79,RAMP,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,"['BnB Smart Chain', 'Polygon']",35%,"['Note: They have this GitHub repo, but it is essentially just a conglomerate of audit reports with a total of 2 solidity files. No tests, no scripts.', 'This section looks at the 3rd party software audits done. It is explained in this document.']",https://github.com/RAMP-DEFI
80,Rabbit Finance,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['BnB Smart Chain'],42%,"[""No code coverage report was found in Rabbit Finance's public GitHub or in any of their public audit reports by Certik and Chains Guard."", 'This section looks at the 3rd party software audits done. It is explained in this document.', '\u200bCertik has published a Rabbit Finance audit report on May 23rd 2021.\u200b\n\xa0Chains Guard has published a Rabbit Finance Audit Report on June 2nd 2021.\n\xa0\n\xa0Rabbit finance was launched on May 24th, making it one audit report published before launch (Certik) and one audit report published after launch (Chains Guard)\n\xa0Note: Most of the fix recommendations provided by certik and CHains Guard were successfully implemented by the rabbit finance team.']",#review-appendices
81,ShapeShift,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,"['BnB Smart Chain', 'Bitcoin', 'Ethereum']",90%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Multiple audits were performed before the public deployment of multiple of their smart contracts. Notably, the token, and the staker, and airdrop contracts have all been audited pre-launch.']",https://etherscan.io/address/0xdd80e21669a664bce83e3ad9a0d74f8dad5d9e72
82,ShibaSwap V3,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['Ethereum'],36%,"['Executing addresses could not be found on the website, Documentation, or Github. There has been NO official developer-supported documentation that has included any Smart Contract Addresses in their documentation. A contract address was found from a medium article, which is not affiliated with the site, but our process requires the protocol to publish their addresses.  For this reason the score is 0%.  As per our process, this means that the audit score is 0% also (See Q17).', 'This section looks at the 3rd party software audits done. It is explained in this document.', 'Certik released an audit on 2021/07/27 of ShibaSwap. It is a solid auditwith changes implemented before deployment.  It has 34 findings which is higher than normal.  The audit highlights very high centralization risk through the multisigs, which have control of user funds.', 'The highly centralized status of the access controls is detailed in the Certik audit.  The multisig has very high control.', 'b) Multisig function is clearly outlined in the ShibaSwap whitepaper. (30%)\n\xa0c) The capabilities for change are described clearly in the audit. (30%)']",https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#documentation
83,Snowball Finance,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['Avalanche'],38%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'There has been no audit performed yet on Snowball Finance.']",#review-appendices
84,StakeWise,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['Ethereum'],79%,"['This section looks at the 3rd party software audits done. It is explained in this document.', '\n\u200bRuntime Verification  published a StakeWise security audit report on December 23rd 2020.\n\xa0- Certik  published an Audit on April 18, 2021\n\xa0- Certik  published an Audit on June 1st, 2021\n\xa0- StakeWise was launched their mainnet on March 8th 2021, meaning they had 1 audit before launch. In addition, they launched their Staking contract on April 19th, while publishing an audit report from Certik the day before. Since StakeWise has had multiple audits pre-launch, they get 100% for this metric.\n\xa0- Note: A majority of the fix recommendations provided by Runtime and Certik were successfully implemented by the StakeWise team\n']",#review-appendices
85,SushiSwap  v2,https://decrypt.co/81120/sushiswaps-token-launchpad-hacked-over-3m-ethereum,"['Arbitrum', 'Avalanche', 'BnB Smart Chain', 'Celo', 'Ethereum', 'Polygon', 'Solana', 'Terra']",63%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'SushiSwap has audits performed by PeckShield  and Quantstamp. Both were done after the mainnet deployment, and all change recommendations were implemented by the team.']",https://dev.sushi.com/sushiswap/contracts
86,Synthetix PQ,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,"['BnB Smart Chain', 'Ethereum']",85%,"['The first impression is to give a very high score for commenting because comments are clear, detailed and included where they add value. The percentage of code to commenting is actually low compared to many other applications at 31%. Numbers in excess of 70% have been seen on well-documented other applications. Part of the reason may be that there is just so much code included. At 9,000 lines over 45 modules this is one of the largest applications audited to date. Based on the commenting the code percentage score of about 45% would be in line with other audits. Given the quality I will increase it to 65%.', 'This section looks at the 3rd party software audits done. It is explained in this document.', 'The audit history page  shows regular audits taking place. There were two audits in 2021 and eight audits in 2020 alone (before mid-August) from two independent auditors. The audit results and documentation appears meticulous and complete.']",https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#documentation
87,Tokemak,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['Ethereum'],56%,"['Tokemak has an average of 85% code coverage in their Quantstamp audit.', 'This section looks at the 3rd party software audits done. It is explained in this document.', 'Tokemak has had two audits deployed before mainnet launches, fixes have been implemented, and the public reports can be found at https://tokemak.gitbook.io/tokemak/protocol-information/network-security.']",https://etherscan.io/address/0xa760e26aA76747020171fCF8BdA108dFdE8Eb930#code
88,Terraswap,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Terra'],46%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'No Terraswap audit was performed yet.']",#review-appendices
89,Tetu ,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,"['Fantom', 'Polygon']",87%,"['This section looks at the 3rd party software audits done. It is explained in this document.', '\u200bMutliple audits  have taken place on Tetu, both before and after launch. However, the DefiYield audit was started before deployment.']",#review-appendices
90,TreeDefi,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['BnB Smart Chain'],38%,"['No test for coverage was found in their audits or in their GitHub repository.', 'This section looks at the 3rd party software audits done. It is explained in this document.', '\nCertik published a TreeDefi audit report on June 22nd 2021.\n\xa02. Hacken published a TreeDeFi audit report on February 21st 2021.\n\xa03. TechRate published a TreeDeFi audit report in March 2021.\n\xa0- Note: TreeDefi was launched on March 15th 2021.\n\xa0- Note 2: Majority of fix recommendations were implemented.\n\xa0\n']",https://docs.treedefi.info/security/emergency-withdraw
91,Tracer Finance,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['Arbitrum'],85%,"['Tracer Finance has had code coverage done by SigmaPrime, and the details can be found near the bottom of their Tracer audit  report.\u200b', 'This section looks at the 3rd party software audits done. It is explained in this document.', 'Tracer underwent an audit  before deployment, and all suggestions were acted upon.', 'Pause controls are mentioned on page 24 in the audit, but there is no mention of them in the documentation.']",https://arbiscan.io/address/0x759E817F0C40B11C775d1071d466B5ff5c6ce28e
92,Tranchess,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['BnB Smart Chain'],77%,"['This section looks at the 3rd party software audits done. It is explained in this document.', '\n\u200bCertik published a Tranchess audit report on June 3rd 2021, which is before their mainnet launch in July 2021.\n\xa0- PeckShield published a Tranchess audit on June 28th 2021, which is before their mainnet launch in July 2021.\n\xa0- Peckshield performs another audit post mainnet launch on September 10th 2021\n\xa0- - Peckshield performs another audit post mainnet launch on December 24th 2021\n\xa0- Note: Fix recommendations were implemented by the Tranchess team.\n']",https://www.bscscan.com/address/0x1216Be0c4328E75aE9ADF726141C2254c2Dcc1b6#analytics
93,UbeSwap,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Celo'],78%,"[""Code examples are in the Appendix.  As per the SLOC, there is 94% testing to code (TtC).\n\xa0\n\xa0No test suite could be found in their master repository, and an audit corroborates this. While this is a UniSwap/SushiSwap fork, UbeSwap operates on an entirely different blockchain to Ethereum, so the code should be comprehensively tested. Although it is not tested by the UbeSwap team, they have indicated what they have changed from the original Uni/Sushi code, and the difference isn't much, so therefore it is still rigorously-tested code.\n\xa0\n\xa0However, there is a decent testing suite in their Farming and Governance repositories, which proves that Ubeswap does a good amount of testing on repositories that are not almost identical forks of other contracts."", 'This section looks at the 3rd party software audits done. It is explained in this document.', 'UbeSwap has had their Core contracts audited by Bramah Systems two months before the mainnet launch.\n\xa0\n\xa0In addition, Bramah Systems published an audit report of the Governance contracts before their mainnet launch as well.']",#review-appendices
94,UMA Project,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['Ethereum'],85%,"['This section looks at the 3rd party software audits done. It is explained in this document.', '\n\u200bOpenZeppelin has done audits for all 4 phases of UMA as well as a continuous audit.\u200b\n\xa0- They were done from April 28th 2020 to April 9th 2021.\n\xa0- UMA was launched in December 2018.\n\xa0- Most of the changes were implemented.\n\xa0\n']",#review-appendices
95,unFederalReserve,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['Ethereum'],74%,"['This section looks at the 3rd party software audits done. It is explained in this document.', '\n\u200bHacken did a unFederalReserve token audit on March 19th 2021. No indication if issues were resolved.\n\xa0- Coinspect did a unFederalReserve token audit in April 2021. Issues remain unfixed.\n\xa0- Both audits, the outstanding changes are very minor and should not result in penalization.  The 70% score stands.\n\xa0\n']",#review-appendices
96,Visor Finance,https://rekt.news/visor-finance-rekt/,"['Avalanche', 'BnB Smart Chain', 'Ethereum', 'Polygon', 'Terra']",15%,"['There is a reasonable set of tests, but no indication of code coverage in any of the Visor Finance documentation or in their Certik audit report.\u200b', 'This section looks at the 3rd party software audits done. It is explained in this document.', '\u200bCertik  published a Visor Finance audit report on July 7th 2021, which is after their Hypervisor mainnet launch in late May.  Two items of concern from the audit.  First re-entracy risks exist and were not resolved.  Second the Owner has very high power.']",https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team
97,Wault Finance,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['BnB Smart Chain'],37%,"['This section looks at the 3rd party software audits done. It is explained in this document.', '\u200bMultiple audits were performed on Wault Finance. All were done post-launch.  The overall quality of the audits is consistently low.  This is a complex financial protocol.  At no time is the finance eco-system that this protocol works in considered.  No words on security from actual attack vectors (except re-entrancy)']",#review-appendices
98,Wing Finance,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,"['BnB Smart Chain', 'Ethereum']",21%,"['No code coverage in any of their audit reports.', 'This section looks at the 3rd party software audits done. It is explained in this document.', 'These are good audits, but the contract code of the Ethereum Contract is in all cases in byte code only.  In addition there is no GitHub.  Due to the fact that there is no means to verify if the code being executed is the same as the code that was audited, Wing Finance therefore gets a 0% on their audits. CertiK, PeckShield and Beosin (twice) have audited the protocol.']",#review-appendices
99,yAxis,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['Ethereum'],38%,"['Code coverage done in their Quantstamp audit.', 'This section looks at the 3rd party software audits done. It is explained in this document.', 'yAxis has had a Quantstamp audit and Haechi audit on Feb. 19th 2021 for their MetaVault V2 which was launched on Feb. 22nd 2021.  Clearly the Quantstamp audit was done after deployment, found real concerning weakness which were not addressed by re-deployment.  For this reason the 70% score is reduced to 50%.', 'Location: Could not be found in protocol docs, but the Haechi audit (page 8) said the devs have effective full control over users funds.']",#review-appendices
100,Yearn Finance V2,https://docs.defisafety.com/v/0.5/finished-reviews/yearn-finance-process-quality-audit,"['Ethereum', 'Fantom']",93%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Yearn has had two MixBytes audits and one Martinet Lee audit pre-deployment, as well as one Trail of Bits audit post-deployment. Full list of available audit reports can be found here.']",https://docs.yearn.finance/developers/deployed-contracts-registry
101,0x Protocol,https://0x.org,['Ethereum'],94%,"['This section looks at the 3rd party software audits done. It is explained in this document.', '0x Protocol has had multiple audits performed on their various mainnet launches for their exchange and staking contracts. Multiple of these had been performed pre launch at https://protocol.0x.org/en/latest/additional/audits.html.']",https://protocol.0x.org/en/latest/basics/addresses.html
102,Alpha Homora V2,https://homora.alphafinance.io,"['Avalanche', 'Ethereum']",26%,"['Contracts could not be found in either the docs or the GitHub. No audits specify the address of the contracts.', 'This section looks at the 3rd party software audits done. It is explained in this document.', 'Despite three audits no listed contracts mean we cannot award points for them as per guidance.']",https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team
103,VVS,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['Cronos'],81%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'VVS was audited before deployment. ']",#review-appendices
104,Paint Swap,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['Fantom'],39%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'PaintSwap is audited by Solidity Finance since November 1st 2021, which was post launch.']",#review-appendices
105,Cafe Swap,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,"['BnB Smart Chain', 'Polygon']",41%,"['This section looks at the 3rd party software audits done. It is explained in this document.', ""\u200b3 audits have taken place. The Obelisk audit of CafeSwap's Polygon expansion was performed pre-deployment, and the suggestions have been implemented. The CertiK and HashEx audits were both performed post-deployment, and results were implemented.""]",https://defi-safety.s3.amazonaws.com/contracts_e945af3657.png
106,BSC Station,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['BnB Smart Chain'],5%,['This section looks at the 3rd party software audits done. It is explained in this document.'],https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#documentation
107,Solarbeam,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['Moonriver'],32%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'An audit  was conducted two months after deployment, and the findings were implemented.']",https://github.com/solarbeamio/
108,Premia Finance,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,"['Arbitrum', 'BnB Smart Chain', 'Ethereum']",62%,"['This section looks at the 3rd party software audits done. It is explained in this document.', ""Premia's initial deployment has been audited post-launch. V2 deployed 3 weeks ago, and the pre-launch audit can be found here.""]",https://etherscan.io/address/0xa4492fcDa2520cB68657d220f4D4aE3116359C10
109,BeethovenX,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Fantom'],63%,"['This section looks at the 3rd party software audits done. It is explained in this document.', ""No audit has been performed on BeethovenX's code. However, since it is a complete fork of audited Balancer code that is proven  to be the exact same code, it receives points. This protocol sets an industry standard for proving that its code is forked and no changes have been made, and thus should be commended for this effort.""]",https://github.com/beethovenxfi
110,KlimaDAO,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['Polygon'],33%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'No audit has been performed on Klima.']",#review-appendices
111,Wonderland,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,"['Arbitrum', 'Avalanche', 'Ethereum']",22%,"['No evidence of testing or auditing, henceforth the code can be interpreted as fully uncovered.', 'This section looks at the 3rd party software audits done. It is explained in this document.', 'No evidence of audits.']",https://github.com/Wonderland-Money/contracts
112,Planet Finance,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['BnB Smart Chain'],24%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Halborn conducted an audit after launch and the results were implemented.']",https://docs.planetfinance.io/
113,TrueFi V4,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Ethereum'],84%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'TrueFi has had multiple audits, found here. Out of those, two of the ImmuneBytes audits were performed before the launch of v4 on August 18th 2021, and the third ImmuneBytes audit was performed post-launch.']",#review-appendices
114,Harvest Finance V2,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,"['BnB Smart Chain', 'Ethereum', 'Polygon']",52%,"['This section looks at the 3rd party software audits done. It is explained in this document.', '\u200bFour audits  were conducted on Harvest after code had been deployed. The changes were implemented.']",#review-appendices
115,DODO Exchange V2,https://docs.defisafety.com/v/0.6/finished-reviews/dodo-process-quality-review,"['Arbitrum', 'BnB Smart Chain', 'Ethereum', 'HECO', 'Polygon']",62%,"['The exchange has had ""formal verification testing methods"" undertaken on it by Beosin, one of the ""audits"". It is unclear what this means as there is insufficient elaboration. See Compound\'s formal verification as an example.', 'This section looks at the 3rd party software audits done. It is explained in this document.', 'Multiple audits have taken place on Dodo, but not before the code was deployed. Changes were implemented.']",https://dodoex.github.io/docs/docs/deployedInfo
116,Polyquity,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['Polygon'],41%,"['This section looks at the 3rd party software audits done. It is explained in this document.', ""Certik conducted an audit one day before Polyquity's launch and the results were implemented.""]",#review-appendices
117,Olympus Finance,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['Ethereum'],51%,"['This section looks at the 3rd party software audits done. It is explained in this document.', '\u200bTwo audits were conducted after deployment: the results are public and have been implemented.']",https://etherscan.io/address/0x575409F8d77c12B05feD8B455815f0e54797381c#analytics
118,Moola,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['Celo'],81%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Moola has been audited pre-launch by Bramah Systems at https://drive.google.com/file/d/1qd1h0dujnp4Xxrl68ZTIMzbt4aXzMWY7/view\u200b']",#review-appendices
119,Cowswap,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Ethereum'],90%,"['This section looks at the 3rd party software audits done. It is explained in this document.', ""\u200bOne audit was released shortly after Cowswap's deployment, but was started beforehand. While the results are public it is very short at just 3 pages.""]",#review-appendices
120,Kine Protocol,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,"['BnB Smart Chain', 'Ethereum', 'Polygon']",61%,"['There is no evidence of a Kine Protocol code coverage in any of their documentation or in their PeckShield audit report.\u200b', 'This section looks at the 3rd party software audits done. It is explained in this document.', '\u200bPeckShield published a Kine Protocol audit report on February 6th 2021, which was before their mainnet deployment on March 23rd.']",#review-appendices
